title,price,store,image_url,product_url,rating,review_count
Смартфон Samsung Galaxy A71 Black,11499000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa3cd7b223a96.47391109smart0003.png,https://chakana.uz/uz/product/11960,0,0
Смартфон iPhone XR 64GB White,5490000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa2671f408dc.png,https://chakana.uz/uz/product/11862,0,0
Смартфон iPhone XR 64GB Red,6570000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa26720ee1e3.png,https://chakana.uz/uz/product/11864,0,0
Смартфон iPhone 11 64GB Red,5100000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa267270b646.png,https://chakana.uz/uz/product/11871,0,0
Смартфон iPhone 11 64GB Yellow,5050000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa2672742020.png,https://chakana.uz/uz/product/11872,0,0
Смартфон iPhone 11 64GB Purple,5390000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa2672817ef8.png,https://chakana.uz/uz/product/11873,0,0
Смартфон iPhone XR 128GB Blue,5740000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa26724143cf.png,https://chakana.uz/uz/product/11867,0,0
Смартфон iPhone 11 128GB Green,5630000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa2672b9c4c7.png,https://chakana.uz/uz/product/11877,0,0
Смартфон iPhone 11 64GB Black,5230000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa26728bbb97.png,https://chakana.uz/uz/product/11874,0,0
Смартфон iPhone 11 64GB White,5420000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa267296de0f.png,https://chakana.uz/uz/product/11875,0,0
Смартфон iPhone 8 64GB Gold,4590000.0,chakana,https://assets.chakana.uz/product/main_image/mobile/5fa2671037c70.png,https://chakana.uz/uz/product/11845,0,0
