title,price,category,product_url,image_url
iPhone 15 Pro Max (128GB) Graphite,18877108,Smartphones,https://uzum.uz/p/2831,https://picsum.photos/seed/iPhone15ProMax/400/400
Apple iPhone 15 Pro Max - Titanium,18895310,Smartphones,https://uzum.uz/p/5234,https://picsum.photos/seed/iPhone15ProMax/400/400
Apple iPhone 15 Pro 256GB White,16671717,Smartphones,https://uzum.uz/p/8910,https://picsum.photos/seed/iPhone15Pro/400/400
Смартфон Apple iPhone 15 128GB,12598046,Smartphones,https://uzum.uz/p/5213,https://picsum.photos/seed/iPhone15/400/400
Apple iPhone 14 Pro 512GB Titanium,14436006,Smartphones,https://uzum.uz/p/2167,https://picsum.photos/seed/iPhone14Pro/400/400
Apple iPhone 14 Pro - White,14532999,Smartphones,https://uzum.uz/p/3446,https://picsum.photos/seed/iPhone14Pro/400/400
Apple iPhone 13 128GB White,9389291,Smartphones,https://uzum.uz/p/6743,https://picsum.photos/seed/iPhone13/400/400
Apple iPhone 13 128GB Silver,9594396,Smartphones,https://uzum.uz/p/9773,https://picsum.photos/seed/iPhone13/400/400
Apple MacBook Air M2 256GB Blue,13434936,Laptops,https://uzum.uz/p/5671,https://picsum.photos/seed/MacBookAirM2/400/400
Apple MacBook Air M2 - Silver,13779147,Laptops,https://uzum.uz/p/2588,https://picsum.photos/seed/MacBookAirM2/400/400
Смартфон Apple AirPods Pro 2 512GB,3148462,Electronics,https://uzum.uz/p/6504,https://picsum.photos/seed/AirPodsPro2/400/400
AirPods Pro 2 (256GB) Black,3089697,Electronics,https://uzum.uz/p/6744,https://picsum.photos/seed/AirPodsPro2/400/400
Galaxy S24 Ultra (128GB) White,18105461,Smartphones,https://uzum.uz/p/7461,https://picsum.photos/seed/GalaxyS24Ultra/400/400
Смартфон Samsung Galaxy S24 Ultra 512GB,17975792,Smartphones,https://uzum.uz/p/4539,https://picsum.photos/seed/GalaxyS24Ultra/400/400
Смартфон Samsung Galaxy S24+ 256GB,13909918,Smartphones,https://uzum.uz/p/7468,https://picsum.photos/seed/GalaxyS24+/400/400
Смартфон Samsung Galaxy S24+ 256GB,13734861,Smartphones,https://uzum.uz/p/7523,https://picsum.photos/seed/GalaxyS24+/400/400
Samsung Galaxy A54 5G 128GB Titanium,4647877,Smartphones,https://uzum.uz/p/7168,https://picsum.photos/seed/GalaxyA545G/400/400
Смартфон Samsung Galaxy A34 256GB,3604806,Smartphones,https://uzum.uz/p/5078,https://picsum.photos/seed/GalaxyA34/400/400
Смартфон Samsung Galaxy A34 512GB,3713988,Smartphones,https://uzum.uz/p/3686,https://picsum.photos/seed/GalaxyA34/400/400
Смартфон Samsung Galaxy Z Fold 5 512GB,19874012,Smartphones,https://uzum.uz/p/6736,https://picsum.photos/seed/GalaxyZFold5/400/400
Note 13 Pro+ (256GB) Silver,5816041,Smartphones,https://uzum.uz/p/8803,https://picsum.photos/seed/Note13Pro+/400/400
Redmi Note 13 Pro+ - Titanium,5861637,Smartphones,https://uzum.uz/p/1609,https://picsum.photos/seed/Note13Pro+/400/400
Redmi Note 13 Pro - Blue,4692532,Smartphones,https://uzum.uz/p/8650,https://picsum.photos/seed/Note13Pro/400/400
Redmi Note 13 Pro - White,4791817,Smartphones,https://uzum.uz/p/4975,https://picsum.photos/seed/Note13Pro/400/400
Redmi Note 13 - Graphite,3164822,Smartphones,https://uzum.uz/p/9281,https://picsum.photos/seed/Note13/400/400
Смартфон Redmi 13C 128GB,1905606,Smartphones,https://uzum.uz/p/5010,https://picsum.photos/seed/13C/400/400
Смартфон Redmi 13C 256GB,1852745,Smartphones,https://uzum.uz/p/7050,https://picsum.photos/seed/13C/400/400
Xiaomi 14 Ultra 512GB Graphite,16035425,Smartphones,https://uzum.uz/p/9200,https://picsum.photos/seed/14Ultra/400/400
13T Pro (512GB) White,8855158,Smartphones,https://uzum.uz/p/4588,https://picsum.photos/seed/13TPro/400/400
Смартфон Xiaomi 13T Pro 512GB,8765381,Smartphones,https://uzum.uz/p/9792,https://picsum.photos/seed/13TPro/400/400
